Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
palermo,Gonzalez G.,D,7.0,35.0,2.0,,12.0,,,,,,5.71,5.6,-4.0,2015-16
empoli,Pelagotti A.,P,1.0,6.0,-5.0,,,,,,,,6.42,5.58,-5.0,2015-16
torino,Benassi M.,C,9.0,31.0,3.0,1.0,7.0,,,,,,5.96,6.2,6.5,2015-16
frosinone,Pavlovic D.,D,5.0,22.0,,5.0,6.0,,,,,,5.75,5.84,2.0,2015-16
udinese,Merkel A.,C,4.0,1.0,,,1.0,,,,,,5.0,4.5,-0.5,2015-16
udinese,Wague M.,D,4.0,21.0,,,5.0,1.0,,,,,5.58,5.4,-3.5,2015-16
bologna,Taider S.,C,8.0,29.0,,,4.0,,,,,,5.82,5.75,-2.0,2015-16
empoli,Paredes L.,C,12.0,33.0,2.0,1.0,11.0,,,,,,6.25,6.3,1.5,2015-16
fiorentina,Benalouane Y.,D,3.0,,,,,,,,,,,,,2015-16
roma,Szczesny W.,P,21.0,34.0,-34.0,,1.0,,,,,,6.21,5.19,-34.5,2015-16
udinese,Edenilson A.,D,5.0,29.0,,,3.0,,,,,,5.55,5.5,-1.5,2015-16
lazio,Basta D.,D,4.0,23.0,,,1.0,,,,,,5.59,5.48,-2.5,2015-16
palermo,Morganella M.,D,4.0,14.0,,1.0,4.0,1.0,,,,,5.64,5.5,-2.0,2015-16
milan,Calabria D.,D,1.0,6.0,,,4.0,,,,,,6.0,5.67,-2.0,2015-16
lazio,Morrison R.,C,4.0,4.0,,,,,,,,,5.0,5.0,,2015-16
roma,Strootman K.,C,5.0,5.0,,1.0,1.0,,,,,,6.17,6.33,0.5,2015-16
carpi,Sabelli S.,D,4.0,7.0,1.0,,1.0,,,,,,6.0,6.36,2.5,2015-16
roma,De Rossi D.,C,5.0,24.0,1.0,1.0,9.0,,,,,,6.0,5.98,-0.5,2015-16
torino,Padelli D.,P,12.0,35.0,-50.0,,3.0,,,,,,5.95,4.44,-53.5,2015-16
lazio,Onazi O.,C,7.0,15.0,1.0,1.0,2.0,,,,,,5.87,6.07,3.0,2015-16
torino,Jansson P.,D,5.0,7.0,1.0,,1.0,,,,,,5.86,6.19,2.5,2015-16
palermo,Chochev I.,C,4.0,27.0,,1.0,6.0,,,,,,5.52,5.44,-2.0,2015-16
milan,Honda K.,T (C),7.0,30.0,1.0,3.0,2.0,,,,,,5.67,5.86,5.0,2015-16
verona,Romulo S.,C,5.0,9.0,,1.0,,,,,,,5.86,5.94,1.0,2015-16
chievo,Ninkovic N.,T (C),4.0,1.0,,,,,,,,,,,,2015-16
carpi,Bianco R.,C,9.0,26.0,1.0,2.0,5.0,1.0,,,,,6.06,6.12,1.5,2015-16
udinese,Domizzi M.,D,3.0,5.0,,,1.0,,,,,,5.0,4.83,-0.5,2015-16
juventus,Alex Sandro,D,9.0,22.0,2.0,3.0,5.0,1.0,,,,,6.32,6.6,5.5,2015-16
palermo,Cristante B.,C,4.0,3.0,,,,,,,,,5.5,5.5,,2015-16
napoli,Chalobah N.,C,3.0,5.0,,,,,,,,,6.0,6.0,,2015-16
roma,Dzeko E.,A,20.0,31.0,8.0,2.0,4.0,1.0,2.0,2.0,,,5.88,6.66,23.0,2015-16
udinese,Heurtaux T.,D,3.0,15.0,,,4.0,,,,,,5.61,5.46,-2.0,2015-16
genoa,Fiamozzi R.,D,4.0,8.0,,,1.0,,,,,,5.93,5.86,-0.5,2015-16
sassuolo,Falcinelli D.,A,6.0,25.0,2.0,,1.0,,1.0,1.0,,,5.7,5.94,5.5,2015-16
napoli,Maggio C.,D,3.0,8.0,,,,,,,,,5.4,5.4,,2015-16
juventus,Audero E.,P,1.0,,,,,,,,,,,,,2015-16
genoa,Matavz T.,A,7.0,7.0,,,,,,,,,5.42,5.42,,2015-16
bologna,Mbaye I.,D,4.0,15.0,,,3.0,1.0,,,,,5.6,5.43,-2.5,2015-16
juventus,Evra P.,D,13.0,26.0,2.0,2.0,5.0,1.0,,,,,6.06,6.24,4.5,2015-16
chievo,Cacciatore F.,D,9.0,29.0,1.0,3.0,6.0,,,,,,5.84,5.95,3.0,2015-16
sampdoria,Brignoli A.,P,1.0,1.0,-5.0,,,,,,,,6.0,1.0,-5.0,2015-16
sampdoria,Krsticic N.,C,3.0,10.0,,1.0,5.0,,,,,,5.64,5.19,-3.5,2015-16
roma,Rudiger A.,D,12.0,30.0,2.0,,4.0,,,,,,5.85,5.98,4.0,2015-16
sampdoria,Barreto E.,C,7.0,30.0,,1.0,3.0,,,,,,5.71,5.7,-0.5,2015-16
inter,Gnoukouri A.,C,4.0,2.0,,,,,,,,,5.5,5.5,,2015-16
frosinone,Gucher R.,C,5.0,24.0,,,3.0,,,,,,5.61,5.52,-1.5,2015-16
verona,Gollini P.,P,9.0,26.0,-44.0,,2.0,,,,,,6.21,4.48,-45.0,2015-16
sassuolo,Politano M.,T (C),13.0,27.0,5.0,1.0,3.0,,,,,,6.11,6.74,14.5,2015-16
milan,Montolivo R.,C,7.0,31.0,,1.0,5.0,,,,,,5.79,5.74,-1.5,2015-16
lazio,Braafheid E.,D,4.0,5.0,,,,,,,,,5.5,5.5,,2015-16
genoa,Capel D.,T (C),4.0,21.0,,,2.0,,,,,,5.72,5.66,-1.0,2015-16
juventus,Cuadrado J.,T (C),17.0,28.0,4.0,2.0,2.0,,,,,,6.34,6.88,13.5,2015-16
bologna,Zuculini F.,C,3.0,1.0,,,,,,,,,6.0,6.0,,2015-16
lazio,Matri A.,A,4.0,19.0,4.0,1.0,1.0,1.0,,,,,5.56,6.19,11.5,2015-16
chievo,Mattiello F.,D,4.0,1.0,,1.0,,,,,,,5.0,6.0,1.0,2015-16
torino,Martinez J.,A,9.0,21.0,3.0,,,,,,,,5.53,6.06,9.0,2015-16
milan,Donnarumma G.,P,16.0,30.0,-29.0,,3.0,,,,,,6.25,5.23,-30.5,2015-16
napoli,Hysaj E.,D,12.0,37.0,,2.0,5.0,,,,,,5.96,5.95,-0.5,2015-16
carpi,Di Gaudio A.,T (C),11.0,29.0,3.0,3.0,2.0,,,,,,6.04,6.41,11.0,2015-16
inter,Biabiany J.,T (A),4.0,20.0,1.0,2.0,3.0,,,,,,6.0,6.17,3.5,2015-16
frosinone,Longo S.,A,3.0,18.0,,,2.0,,,,,,5.44,5.33,-1.0,2015-16
udinese,Pontisso S.,C,1.0,,,,,,,,,,,,,2015-16
verona,Wszolek P.,C,7.0,28.0,,3.0,4.0,1.0,,,,,5.74,5.73,,2015-16
bologna,Sarr M.,P,1.0,,,,,,,,,,,,,2015-16
udinese,Di Natale A.,A,10.0,23.0,2.0,3.0,,,2.0,1.0,1.0,,5.87,6.13,6.0,2015-16
genoa,Ntcham O.,C,4.0,17.0,,1.0,2.0,,,,,,5.84,5.84,,2015-16
milan,Bacca C.,A,26.0,38.0,18.0,2.0,2.0,,2.0,2.0,,,5.72,7.16,55.0,2015-16
carpi,Mancosu M.,A,4.0,21.0,2.0,,2.0,,1.0,1.0,,,5.47,5.76,5.5,2015-16
lazio,Marchetti F.,P,16.0,29.0,-39.0,,,,,,,2.0,6.09,4.95,-33.0,2015-16
frosinone,Leali N.,P,10.0,33.0,-59.0,,4.0,,,,,1.0,6.14,4.38,-58.0,2015-16
lazio,Candreva A.,T (C),18.0,30.0,10.0,3.0,4.0,,8.0,6.0,2.0,,5.9,6.73,25.0,2015-16
fiorentina,Lezzerini L.,P,1.0,2.0,-3.0,,,,,,,,6.0,4.5,-3.0,2015-16
empoli,Diousse A.,C,3.0,15.0,,,2.0,1.0,,,,,6.0,5.83,-2.0,2015-16
torino,Ichazo S.,P,1.0,2.0,-4.0,,,,,,,,5.5,4.0,-4.0,2015-16
verona,Fares M.,A,4.0,11.0,,1.0,2.0,,,,,,5.56,5.56,,2015-16
udinese,Iniguez G.,C,4.0,,,,,,,,,,,,,2015-16
inter,Perisic I.,T (C),23.0,34.0,7.0,5.0,5.0,,,,,,6.02,6.7,23.5,2015-16
lazio,Guerrieri G.,P,1.0,,,,,,,,,,,,,2015-16
fiorentina,Astori D.,D,9.0,33.0,,,5.0,,,,,,5.94,5.86,-2.5,2015-16
empoli,Mario Rui,D,9.0,36.0,,1.0,6.0,1.0,,,,,5.79,5.71,-3.0,2015-16
milan,Bertolacci A.,C,4.0,27.0,1.0,1.0,6.0,,,,,,5.46,5.5,1.0,2015-16
frosinone,Pryima V.,D,3.0,5.0,,,1.0,,,,,,5.62,5.6,-0.5,2015-16
juventus,Rubinho,P,1.0,,,,,1.0,,,,,,,,2015-16
napoli,Grassi A.,C,4.0,13.0,,,4.0,1.0,,,,,5.81,5.58,-3.0,2015-16
bologna,Acquafresca R.,A,3.0,6.0,,,,,,,,,5.25,5.25,,2015-16
chievo,Frey N.,D,4.0,19.0,,,3.0,,,,,,5.64,5.44,-3.5,2015-16
chievo,Costa F.,D,4.0,5.0,,,,,,,,,5.88,5.88,,2015-16
sassuolo,Pomini A.,P,1.0,,,,,,,,,,,5.0,,2015-16
frosinone,Soddimo D.,T (C),5.0,28.0,1.0,2.0,9.0,1.0,,,,,5.86,5.86,,2015-16
verona,Gomez J.,T (A),8.0,33.0,1.0,,3.0,,,,,,5.62,5.66,1.5,2015-16
verona,Gilberto,D,3.0,10.0,,,2.0,,,,,,5.78,5.72,-0.5,2015-16
palermo,Vazquez F.,T (A),26.0,36.0,8.0,4.0,11.0,,1.0,1.0,,,6.21,6.83,22.5,2015-16
juventus,Padoin S.,C,4.0,12.0,1.0,,2.0,,,,,,5.69,5.94,2.0,2015-16
sampdoria,Palombo A.,C,3.0,7.0,,,,,,,,,5.57,5.57,,2015-16
milan,Mexes P.,D,3.0,5.0,1.0,,4.0,,,,,,5.8,6.0,1.0,2015-16
juventus,Caceres M.,D,4.0,6.0,,,,,,,,,6.08,6.08,,2015-16
bologna,Brienza F.,T (C),11.0,29.0,3.0,3.0,1.0,,,,,,6.13,6.58,11.5,2015-16
torino,Avelar D.,D,2.0,6.0,,1.0,1.0,,,,,,5.9,5.75,-1.0,2015-16
napoli,Gabriel F.,P,1.0,1.0,-3.0,,,,,,,1.0,5.0,5.0,,2015-16
sassuolo,Peluso F.,D,10.0,33.0,1.0,1.0,11.0,,,,,,5.79,5.75,-1.5,2015-16
juventus,Buffon G.,P,29.0,35.0,-17.0,,1.0,,,,,1.0,6.37,5.9,-14.5,2015-16
torino,Glik K.,D,9.0,32.0,,,11.0,,,,,,5.81,5.65,-5.5,2015-16
sampdoria,Cassani M.,D,4.0,25.0,,1.0,6.0,1.0,,,,,5.67,5.54,-3.0,2015-16
roma,Gyomber N.,D,4.0,6.0,,,1.0,,,,,,5.75,5.75,,2015-16
inter,Kondogbia G.,C,7.0,26.0,1.0,1.0,6.0,1.0,,,,,5.76,5.76,,2015-16
genoa,Tambe A.,D,3.0,,,,,,,,,,,,,2015-16
chievo,Mpoku P.,T (A),4.0,20.0,,,3.0,,,,,,5.73,5.62,-1.5,2015-16
palermo,Vitiello R.,D,3.0,10.0,,,3.0,1.0,,,,,5.44,4.88,-4.5,2015-16
milan,Romagnoli A.,D,7.0,34.0,,,8.0,1.0,,,,,5.65,5.5,-5.0,2015-16
carpi,Lollo L.,C,6.0,27.0,3.0,1.0,10.0,2.0,,,,,5.79,5.9,3.0,2015-16
verona,Marcone R.,P,1.0,,,,,,,,,,,,,2015-16
atalanta,Dalessandro M.,T (C),6.0,23.0,3.0,2.0,3.0,,,,,,5.95,6.4,9.5,2015-16
carpi,Pasciuti L.,C,4.0,21.0,2.0,3.0,4.0,1.0,,,,,5.79,6.08,6.0,2015-16
genoa,Laxalt D.,T (C),13.0,35.0,3.0,3.0,3.0,,,,,,6.04,6.34,10.5,2015-16
inter,Eder C.,A,20.0,33.0,13.0,1.0,3.0,,3.0,3.0,,,6.0,7.24,38.5,2015-16
sampdoria,Sala J.,C,3.0,23.0,,1.0,8.0,,,,,,5.57,5.43,-3.0,2015-16
napoli,Callejon J.,A,25.0,38.0,7.0,3.0,4.0,,,,,,6.16,6.76,22.0,2015-16
empoli,Borghini D.,D,1.0,,,,,,,,,,,,,2015-16
inter,Telles A.,D,3.0,21.0,,1.0,5.0,1.0,,,,,5.78,5.65,-2.5,2015-16
udinese,Romo R.,P,1.0,,,,,,,,,,,,,2015-16
udinese,Zapata D.,A,13.0,25.0,8.0,2.0,6.0,,,,,,5.94,6.86,23.0,2015-16
lazio,Berisha E.,P,3.0,11.0,-13.0,,1.0,,,,,1.0,5.95,5.0,-10.5,2015-16
frosinone,Gori M.,C,5.0,28.0,,,10.0,1.0,,,,,5.83,5.61,-6.0,2015-16
palermo,Maresca E.,C,7.0,15.0,1.0,,3.0,,,,,,5.92,6.04,1.5,2015-16
napoli,Rafael C.,P,1.0,,,,,,,,,,,,,2015-16
sampdoria,De Silvestri L.,D,7.0,17.0,1.0,2.0,4.0,,,,,,5.97,6.15,3.0,2015-16
bologna,Destro M.,A,12.0,27.0,8.0,,9.0,,3.0,2.0,1.0,,5.9,6.5,16.5,2015-16
verona,Moras E.,D,8.0,31.0,1.0,1.0,4.0,1.0,,,,,5.82,5.85,1.0,2015-16
frosinone,Zappino M.,P,1.0,4.0,-14.0,,,,,,,,5.5,2.0,-14.0,2015-16
fiorentina,Bernardeschi F.,T (A),15.0,33.0,2.0,3.0,6.0,,,,,,6.08,6.26,6.0,2015-16
lazio,Mauri S.,T (C),4.0,12.0,1.0,,,,,,,,5.75,6.05,3.0,2015-16
torino,Lopez M.,A,10.0,26.0,4.0,2.0,2.0,,3.0,2.0,1.0,,5.88,6.28,10.0,2015-16
palermo,Jajalo M.,C,4.0,28.0,,,8.0,,,,,,5.65,5.5,-4.0,2015-16
carpi,Martinho R.,C,4.0,11.0,,,3.0,,,,,,5.7,5.55,-1.5,2015-16
napoli,Regini V.,D,4.0,15.0,,,2.0,,,,,,5.43,5.37,-1.0,2015-16
chievo,Pellissier S.,A,10.0,19.0,5.0,,2.0,,2.0,2.0,,,5.86,6.64,14.0,2015-16
roma,De Sanctis M.,P,4.0,4.0,-7.0,,,,,,,1.0,6.0,5.0,-4.0,2015-16
frosinone,Gomis L.,P,1.0,,,,,,,,,,,,,2015-16
lazio,Radu S.,D,4.0,13.0,,1.0,3.0,1.0,,,,,5.5,5.38,-1.5,2015-16
juventus,Khedira S.,C,6.0,20.0,5.0,3.0,3.0,1.0,,,,,6.37,7.18,15.5,2015-16
genoa,De Maio S.,D,8.0,28.0,1.0,,5.0,1.0,,,,,5.76,5.67,-2.5,2015-16
udinese,Karnezis O.,P,14.0,38.0,-60.0,,,,,,,1.0,6.11,4.61,-57.0,2015-16
genoa,Donnarumma A.,P,1.0,,,,,,,,,,,,,2015-16
lazio,Klose M.,A,20.0,24.0,7.0,7.0,3.0,,1.0,1.0,,,6.13,7.28,26.5,2015-16
milan,Balotelli M.,A,1.0,20.0,1.0,1.0,6.0,,1.0,,1.0,,5.83,5.73,-1.5,2015-16
torino,Belotti A.,A,25.0,34.0,12.0,4.0,4.0,,4.0,4.0,,,6.02,7.13,38.0,2015-16
chievo,Seculin A.,P,1.0,3.0,-2.0,,,,,,,,6.5,5.83,-2.0,2015-16
carpi,Romagnoli S.,D,7.0,30.0,,,5.0,,,,,,5.85,5.77,-2.5,2015-16
frosinone,Russo A.,D,3.0,10.0,1.0,,2.0,,,,,,5.7,5.9,2.0,2015-16
lazio,Mauricio,D,3.0,24.0,,,13.0,1.0,,,,,5.5,5.17,-7.5,2015-16
inter,Dambrosio D.,D,5.0,20.0,2.0,,3.0,1.0,,,,,5.72,5.92,3.5,2015-16
torino,Baselli D.,C,11.0,34.0,4.0,1.0,6.0,,,,,,5.92,6.22,10.0,2015-16
atalanta,Kurtic J.,C,11.0,32.0,2.0,,5.0,1.0,,,,,5.89,5.97,2.5,2015-16
juventus,Morata A.,A,24.0,34.0,7.0,7.0,6.0,,1.0,1.0,,,6.07,6.96,25.0,2015-16
palermo,Quaison R.,C,10.0,30.0,1.0,2.0,5.0,,,,,,5.86,5.93,2.5,2015-16
milan,De Sciglio M.,D,5.0,22.0,,,3.0,,,,,,5.41,5.34,-1.5,2015-16
lazio,Milinkovic S.,C,6.0,25.0,1.0,,5.0,1.0,,,,,5.93,5.91,-0.5,2015-16
sassuolo,Magnanelli F.,C,13.0,33.0,1.0,,8.0,,,,,,6.23,6.19,-1.0,2015-16
sassuolo,Pellegrini L.,C,1.0,19.0,3.0,,4.0,1.0,,,,,5.97,6.32,6.0,2015-16
udinese,Matos,T (A),6.0,26.0,2.0,2.0,2.0,,1.0,,1.0,,5.9,6.06,4.0,2015-16
palermo,Alastra F.,P,1.0,2.0,-6.0,,,,,,,,6.0,3.0,-6.0,2015-16
fiorentina,Costa T.,C,4.0,19.0,,,7.0,,,,,,5.94,5.76,-3.0,2015-16
napoli,Hamsik M.,C,24.0,38.0,6.0,7.0,,,2.0,1.0,1.0,,6.22,6.8,22.0,2015-16
roma,Salah M.,T (A),31.0,34.0,14.0,5.0,1.0,1.0,,,,,6.13,7.47,45.5,2015-16
juventus,Hernanes A.,T (C),4.0,16.0,1.0,,6.0,,,,,,5.88,5.82,,2015-16
palermo,Lazaar A.,D,6.0,30.0,1.0,1.0,2.0,1.0,,,,,5.53,5.6,2.0,2015-16
napoli,Koulibaly K.,D,12.0,33.0,,,11.0,,,,,,6.23,6.06,-5.5,2015-16
torino,Acquah A.,C,9.0,28.0,2.0,2.0,8.0,,,,,,5.94,6.07,4.0,2015-16
palermo,Hiljemark O.,C,12.0,38.0,4.0,3.0,4.0,,,,,,5.77,6.11,13.0,2015-16
roma,Lobont B.,P,1.0,,,,,,,,,,,,,2015-16
udinese,Kuzmanovic Z.,C,9.0,16.0,,,5.0,,,,,,6.07,5.88,-2.5,2015-16
palermo,Trajkovski A.,T (A),10.0,32.0,3.0,1.0,2.0,,,,,,5.71,6.0,9.0,2015-16
bologna,Mounier A.,T (C),12.0,30.0,4.0,2.0,6.0,,,,,,5.79,6.13,11.0,2015-16
udinese,Fernandes B.,T (C),13.0,31.0,3.0,4.0,7.0,1.0,2.0,1.0,1.0,,5.98,6.16,5.5,2015-16
inter,Popa R.,D,1.0,,,,,,,,,,,,,2015-16
roma,Florenzi A.,C,18.0,33.0,7.0,3.0,4.0,,,,,,6.05,6.71,22.0,2015-16
milan,Locatelli M.,C,2.0,2.0,,,1.0,,,,,,5.0,4.5,-0.5,2015-16
verona,Jankovic B.,T (C),4.0,15.0,1.0,,3.0,1.0,,,,,5.57,5.61,0.5,2015-16
udinese,Lodi F.,C,8.0,24.0,1.0,,3.0,,,,,,6.04,6.11,1.5,2015-16
frosinone,Chibsah R.,C,4.0,22.0,,1.0,1.0,1.0,,,,,5.87,5.87,,2015-16
inter,Handanovic S.,P,21.0,36.0,-34.0,,5.0,,,,,1.0,6.39,5.46,-33.5,2015-16
frosinone,Rosi A.,D,5.0,27.0,,,6.0,,,,,,5.78,5.67,-2.5,2015-16
roma,Totti F.,A,13.0,13.0,5.0,3.0,3.0,,1.0,1.0,,,6.46,7.73,16.5,2015-16
empoli,Maiello R.,C,3.0,12.0,,,1.0,,,,,,5.95,5.91,-0.5,2015-16
palermo,Petermann D.,C,1.0,,,,,,,,,,,,,2015-16
atalanta,Napol N.,A,1.0,,,,,,,,,,,,,2015-16
chievo,Bressan W.,P,1.0,,,,,,,,,,,,,2015-16
verona,Viviani F.,C,9.0,19.0,3.0,6.0,4.0,1.0,,,,,6.13,6.76,12.0,2015-16
juventus,Dybala P.,A,42.0,34.0,19.0,7.0,1.0,,6.0,6.0,,,6.73,8.56,63.5,2015-16
bologna,Constant K.,D,4.0,7.0,,,,,,,,,5.5,5.5,,2015-16
milan,Mauri J.,C,3.0,5.0,,,2.0,,,,,,6.0,5.75,-1.0,2015-16
juventus,Pogba P.,C,27.0,35.0,8.0,9.0,10.0,,2.0,1.0,1.0,,6.41,7.13,25.0,2015-16
roma,Keita S.,C,4.0,20.0,1.0,,4.0,,,,,,6.03,6.08,1.0,2015-16
sampdoria,Silvestre M.,D,4.0,25.0,,,7.0,,,,,,5.74,5.6,-3.5,2015-16
genoa,Perin M.,P,10.0,25.0,-30.0,,2.0,,,,,1.0,6.3,5.18,-28.0,2015-16
verona,Checchin L.,C,1.0,4.0,,,1.0,,,,,,6.0,5.67,-0.5,2015-16
bologna,Krivicic M.,T (C),1.0,,,,,,,,,,,,,2015-16
chievo,Inglese R.,A,5.0,26.0,3.0,1.0,3.0,,,,,,6.02,6.37,8.5,2015-16
inter,Murillo J.,D,8.0,34.0,2.0,1.0,3.0,3.0,,,,,5.86,5.88,0.5,2015-16
sampdoria,Carbonero C.,C,4.0,14.0,,3.0,3.0,,,,,,6.07,6.18,1.5,2015-16
roma,Vainqueur W.,C,4.0,16.0,,1.0,3.0,,,,,,6.14,6.04,-0.5,2015-16
sampdoria,Ivan D.,T (C),4.0,21.0,1.0,,4.0,1.0,,,,,5.94,5.94,,2015-16
carpi,Fedele M.,C,4.0,8.0,,,2.0,,,,,,5.81,5.69,-1.0,2015-16
milan,Niang M.,A,4.0,16.0,5.0,3.0,1.0,,2.0,2.0,,,6.1,7.27,17.5,2015-16
genoa,Izzo A.,D,10.0,33.0,,,6.0,2.0,,,,,6.02,5.86,-5.0,2015-16
fiorentina,Kalinic N.,A,22.0,36.0,13.0,1.0,5.0,,1.0,,1.0,,6.17,7.16,34.5,2015-16
juventus,Rugani D.,D,5.0,17.0,,,2.0,,,,,,6.12,6.06,-1.0,2015-16
juventus,Lichtsteiner S.,D,9.0,26.0,,1.0,5.0,,,,,,6.06,6.0,-1.5,2015-16
empoli,Costa A.,D,6.0,24.0,1.0,,4.0,,,,,,5.91,5.96,1.0,2015-16
lazio,Parolo M.,C,11.0,31.0,3.0,,9.0,,,,,,5.78,5.93,4.5,2015-16
frosinone,Kragl O.,C,8.0,15.0,1.0,,4.0,,,,,,6.04,6.12,1.0,2015-16
carpi,Daprela F.,D,3.0,7.0,,,2.0,,,,,,5.62,5.38,-1.0,2015-16
bologna,Gastaldello D.,D,6.0,26.0,1.0,1.0,7.0,1.0,,,,,6.04,6.02,-0.5,2015-16
lazio,Lulic S.,C,10.0,30.0,3.0,3.0,9.0,1.0,,,,,5.75,5.97,6.5,2015-16
sampdoria,Pereira P.,D,4.0,9.0,,1.0,,,,,,,5.72,5.83,1.0,2015-16
palermo,Goldaniga E.,D,4.0,17.0,2.0,,5.0,,,,,,5.47,5.69,3.5,2015-16
atalanta,Gomez A.,T (C),20.0,34.0,7.0,8.0,4.0,1.0,,,,,6.35,7.12,26.0,2015-16
frosinone,Crivello R.,D,3.0,17.0,,1.0,5.0,,,,,,5.32,5.24,-1.5,2015-16
milan,Poli A.,C,4.0,18.0,,1.0,1.0,,,,,,5.73,5.77,0.5,2015-16
juventus,Mandzukic M.,A,21.0,27.0,10.0,1.0,5.0,,,,,,6.37,7.43,28.5,2015-16
verona,Winck C.,D,4.0,,,,,,,,,,,,,2015-16
juventus,Bonucci L.,D,16.0,36.0,3.0,1.0,6.0,,,,,,6.06,6.19,5.0,2015-16
palermo,Struna A.,D,4.0,22.0,1.0,,10.0,1.0,,,,,5.25,5.11,-3.0,2015-16
napoli,Higuain G.,A,59.0,35.0,36.0,2.0,1.0,1.0,3.0,3.0,,,6.99,10.09,108.5,2015-16
roma,Iago F.,T (A),5.0,22.0,2.0,1.0,1.0,,,,,,5.74,6.05,6.5,2015-16
roma,Digne L.,D,13.0,33.0,3.0,1.0,4.0,,,,,,6.08,6.32,8.0,2015-16
napoli,Gabbiadini M.,A,4.0,23.0,5.0,3.0,1.0,,1.0,1.0,,,5.92,7.27,17.5,2015-16
empoli,Pugliesi M.,P,1.0,1.0,-1.0,,,,,,,,6.5,5.5,-1.0,2015-16
inter,Melo F.,C,7.0,26.0,1.0,1.0,6.0,2.0,,,,,5.89,5.83,-1.0,2015-16
milan,Abbiati C.,P,1.0,1.0,,,,,,,,,7.0,7.0,,2015-16
torino,Gaston Silva,D,4.0,11.0,,1.0,3.0,,,,,,5.59,5.58,-0.5,2015-16
sampdoria,Diakite M.,D,4.0,26.0,1.0,,8.0,,,,,,5.65,5.62,-1.0,2015-16
